Date,Adj Close
2018/12/6,96.809998
2018/12/7,96.510002
2018/12/10,97.220001
2018/12/11,97.389999
2018/12/12,97.040001
2018/12/13,97.059998
2018/12/14,97.440002
2018/12/17,97.099998
2018/12/18,97.139999
2018/12/19,97.040001
2018/12/20,96.279999
2018/12/21,96.959999
2018/12/26,97.050003
2018/12/27,96.480003
2018/12/28,96.389999
2018/12/31,96.169998
2019/1/2,96.82
2019/1/3,96.309998
2019/1/4,96.190002
2019/1/7,95.709999
2019/1/8,95.900002
2019/1/9,95.220001
2019/1/10,95.540001
2019/1/11,95.669998
2019/1/14,95.589996
2019/1/15,95.970001
2019/1/16,96.059998
2019/1/17,96.07
2019/1/18,96.339996
2019/1/22,96.300003
2019/1/23,96.120003
2019/1/24,96.599998
2019/1/25,95.790001
2019/1/28,95.75
2019/1/29,95.82
2019/1/30,95.339996
2019/1/31,95.580002
2019/2/1,95.580002
2019/2/4,95.849998
2019/2/5,96.099998
2019/2/6,96.419998
2019/2/7,96.510002
2019/2/8,96.639999
2019/2/11,97.059998
2019/2/12,96.709999
2019/2/13,97.129997
2019/2/14,96.980003
2019/2/15,96.919998
2019/2/19,96.519997
2019/2/20,96.449997
2019/2/21,96.610001
2019/2/22,96.510002
2019/2/25,96.410004
2019/2/26,96
2019/2/27,96.150002
2019/2/28,96.160004
2019/3/1,96.529999
2019/3/4,96.68
2019/3/5,96.849998
2019/3/6,96.870003
2019/3/7,97.669998
2019/3/8,97.370003
2019/3/11,97.18
2019/3/12,96.940002
2019/3/13,96.550003
2019/3/14,96.75
2019/3/15,96.900002
2019/3/18,96.489998
2019/3/19,96.379997
2019/3/20,96.019997
2019/3/21,96.5
2019/3/22,96.650002
2019/3/25,96.57
2019/3/26,96.739998
2019/3/27,96.769997
2019/3/28,97.199997
2019/3/29,97.279999
2019/4/1,97.25
2019/4/2,97.360001
2019/4/3,97.089996
2019/4/4,97.309998
2019/4/5,97.400002
2019/4/8,97.050003
2019/4/9,97.010002
2019/4/10,96.949997
2019/4/11,97.18
2019/4/12,96.949997
2019/4/15,96.940002
2019/4/16,97.040001
2019/4/17,97.010002
2019/4/18,97.470001
2019/4/22,97.300003
2019/4/23,97.57
2019/4/24,98.099998
2019/4/25,98.199997
2019/4/26,98.010002
2019/4/29,97.860001
2019/4/30,97.480003
2019/5/1,97.690002
2019/5/2,97.830002
2019/5/3,97.519997
2019/5/6,97.519997
2019/5/7,97.629997
2019/5/8,97.620003
2019/5/9,97.370003
2019/5/10,97.330002
2019/5/13,97.360001
2019/5/14,97.529999
2019/5/15,97.57
2019/5/16,97.839996
